GEO_ID|GEOGRAPHY|GEOTYPE|GEOTYPE_MEANING|SECTOR|SECTOR_MEANING|NAICS|NAICS_MEANING|TAXIND|TAXIND_MEANING|YEAR|YEAR_MEANING|CONCENFI|CONCENFI_MEANING|ESTAB|ESTABF|ECVALUE|ECVALUEF|VALPCT|VALPCTF|PAY|PAYF|PAY1Q|PAY1QF|EMP|EMPF 
01000US|United States|1|United States|54|Professional, scientific, and technical services|541310|Architectural services|T|Taxable establishments|1997|Reference year 1997|003|All firms|20602||16988338||100||6468524||1357068||146702|
01000US|United States|1|United States|54|Professional, scientific, and technical services|541310|Architectural services|T|Taxable establishments|1997|Reference year 1997|804|4 largest firms|28||893512||5.3||293359||69711||4820|
01000US|United States|1|United States|54|Professional, scientific, and technical services|541310|Architectural services|T|Taxable establishments|1997|Reference year 1997|808|8 largest firms|50||1271929||7.5||399645||89998||6650|
01000US|United States|1|United States|54|Professional, scientific, and technical services|541310|Architectural services|T|Taxable establishments|1997|Reference year 1997|820|20 largest firms|115||1892188||11.1||654061||150772||11596|
01000US|United States|1|United States|54|Professional, scientific, and technical services|541310|Architectural services|T|Taxable establishments|1997|Reference year 1997|850|50 largest firms|201||2797583||16.5||1026536||231221||18878|
01000US|United States|1|United States|54|Professional, scientific, and technical services|54133|Engineering services|T|Taxable establishments|1997|Reference year 1997|003|All firms|52526||88180688||100||35337890||8049622||730048|
01000US|United States|1|United States|54|Professional, scientific, and technical services|54133|Engineering services|T|Taxable establishments|1997|Reference year 1997|804|4 largest firms|91||9424718||10.7||2471493||596964||40025|
01000US|United States|1|United States|54|Professional, scientific, and technical services|54133|Engineering services|T|Taxable establishments|1997|Reference year 1997|808|8 largest firms|224||14165754||16.1||4169501||989587||73108|
01000US|United States|1|United States|54|Professional, scientific, and technical services|54133|Engineering services|T|Taxable establishments|1997|Reference year 1997|820|20 largest firms|714||21904229||24.8||6679407||1621687||117920|
01000US|United States|1|United States|54|Professional, scientific, and technical services|54133|Engineering services|T|Taxable establishments|1997|Reference year 1997|850|50 largest firms|1592||30109580||34.1||9978028||2421131||178585|
01000US|United States|1|United States|54|Professional, scientific, and technical services|541330|Engineering services|T|Taxable establishments|1997|Reference year 1997|003|All firms|52526||88180688||100||35337890||8049622||730048|
01000US|United States|1|United States|54|Professional, scientific, and technical services|541330|Engineering services|T|Taxable establishments|1997|Reference year 1997|804|4 largest firms|91||9424718||10.7||2471493||596964||40025|
01000US|United States|1|United States|54|Professional, scientific, and technical services|541330|Engineering services|T|Taxable establishments|1997|Reference year 1997|808|8 largest firms|224||14165754||16.1||4169501||989587||73108|
01000US|United States|1|United States|54|Professional, scientific, and technical services|541330|Engineering services|T|Taxable establishments|1997|Reference year 1997|820|20 largest firms|714||21904229||24.8||6679407||1621687||117920|
01000US|United States|1|United States|54|Professional, scientific, and technical services|541330|Engineering services|T|Taxable establishments|1997|Reference year 1997|850|50 largest firms|1592||30109580||34.1||9978028||2421131||178585|
01000US|United States|1|United States|54|Professional, scientific, and technical services|54134|Drafting services|T|Taxable establishments|1997|Reference year 1997|003|All firms|1872||605362||100||310342||72168||9150|
01000US|United States|1|United States|54|Professional, scientific, and technical services|54134|Drafting services|T|Taxable establishments|1997|Reference year 1997|804|4 largest firms|8||56324||9.3||39951||9175||651|
01000US|United States|1|United States|54|Professional, scientific, and technical services|54134|Drafting services|T|Taxable establishments|1997|Reference year 1997|808|8 largest firms|13||86009||14.2||56305||12978||1117|
01000US|United States|1|United States|54|Professional, scientific, and technical services|54134|Drafting services|T|Taxable establishments|1997|Reference year 1997|820|20 largest firms|27||140778||23.3||92001||23724||1931|
01000US|United States|1|United States|54|Professional, scientific, and technical services|54134|Drafting services|T|Taxable establishments|1997|Reference year 1997|850|50 largest firms|59||218864||36.2||135749||33692||3002|
01000US|United States|1|United States|54|Professional, scientific, and technical services|541340|Drafting services|T|Taxable establishments|1997|Reference year 1997|003|All firms|1872||605362||100||310342||72168||9150|
01000US|United States|1|United States|54|Professional, scientific, and technical services|541340|Drafting services|T|Taxable establishments|1997|Reference year 1997|804|4 largest firms|8||56324||9.3||39951||9175||651|
01000US|United States|1|United States|54|Professional, scientific, and technical services|541340|Drafting services|T|Taxable establishments|1997|Reference year 1997|808|8 largest firms|13||86009||14.2||56305||12978||1117|
