GEO_ID|GEOGRAPHY|GEOTYPE|GEOTYPE_MEANING|SECTOR|SECTOR_MEANING|OPTYPE|OPTYPE_MEANING|NAICS|NAICS_MEANING|YEAR|YEAR_MEANING|CONCENFI|CONCENFI_MEANING|ESTAB|ESTABF|ECVALUE|ECVALUEF|VALPCT|VALPCTF|PAY|PAYF|PAY1Q|PAY1QF|EMP|EMPF 
01000US|United States|1|United States|42|Wholesale trade|00|Wholesale trade|4212102|Office & business furniture whsle|1997|Reference year 1997|808|8 largest firms|120||6014981||30.3||198820||49428||3933|
01000US|United States|1|United States|42|Wholesale trade|00|Wholesale trade|4212102|Office & business furniture whsle|1997|Reference year 1997|820|20 largest firms|172||7422757||37.5||366063||85851||7243|
01000US|United States|1|United States|42|Wholesale trade|00|Wholesale trade|4212102|Office & business furniture whsle|1997|Reference year 1997|850|50 largest firms|266||9378713||47.3||568065||129755||11072|
01000US|United States|1|United States|42|Wholesale trade|00|Wholesale trade|42122|Home furnishings whsle|1997|Reference year 1997|003|All firms|8549||43107895||100||2901653||669509||91535|
01000US|United States|1|United States|42|Wholesale trade|00|Wholesale trade|42122|Home furnishings whsle|1997|Reference year 1997|804|4 largest firms|44||7166282||16.6||103679||27893||2836|
01000US|United States|1|United States|42|Wholesale trade|00|Wholesale trade|42122|Home furnishings whsle|1997|Reference year 1997|808|8 largest firms|58||9553219||22.2||147306||40763||3880|
01000US|United States|1|United States|42|Wholesale trade|00|Wholesale trade|42122|Home furnishings whsle|1997|Reference year 1997|820|20 largest firms|129||13424685||31.1||295246||76106||9840|
01000US|United States|1|United States|42|Wholesale trade|00|Wholesale trade|42122|Home furnishings whsle|1997|Reference year 1997|850|50 largest firms|259||17328398||40.2||607636||151339||17623|
01000US|United States|1|United States|42|Wholesale trade|00|Wholesale trade|421220|Home furnishings whsle|1997|Reference year 1997|003|All firms|8549||43107895||100||2901653||669509||91535|
01000US|United States|1|United States|42|Wholesale trade|00|Wholesale trade|421220|Home furnishings whsle|1997|Reference year 1997|804|4 largest firms|44||7166282||16.6||103679||27893||2836|
01000US|United States|1|United States|42|Wholesale trade|00|Wholesale trade|421220|Home furnishings whsle|1997|Reference year 1997|808|8 largest firms|58||9553219||22.2||147306||40763||3880|
01000US|United States|1|United States|42|Wholesale trade|00|Wholesale trade|421220|Home furnishings whsle|1997|Reference year 1997|820|20 largest firms|129||13424685||31.1||295246||76106||9840|
01000US|United States|1|United States|42|Wholesale trade|00|Wholesale trade|421220|Home furnishings whsle|1997|Reference year 1997|850|50 largest firms|259||17328398||40.2||607636||151339||17623|
01000US|United States|1|United States|42|Wholesale trade|00|Wholesale trade|4212201|Household china, glassware, & crockery whsle|1997|Reference year 1997|003|All firms|1332||6744886||100||478488||108490||16343|
01000US|United States|1|United States|42|Wholesale trade|00|Wholesale trade|4212201|Household china, glassware, & crockery whsle|1997|Reference year 1997|804|4 largest firms|6||1169648||17.3||50708||11259||3357|
01000US|United States|1|United States|42|Wholesale trade|00|Wholesale trade|4212201|Household china, glassware, & crockery whsle|1997|Reference year 1997|808|8 largest firms|12||1604873||23.8||91145||20262||4400|
01000US|United States|1|United States|42|Wholesale trade|00|Wholesale trade|4212201|Household china, glassware, & crockery whsle|1997|Reference year 1997|820|20 largest firms|28||2344699||34.8||129111||29292||5389|
01000US|United States|1|United States|42|Wholesale trade|00|Wholesale trade|4212201|Household china, glassware, & crockery whsle|1997|Reference year 1997|850|50 largest firms|68||3390029||50.3||210519||46997||7487|
01000US|United States|1|United States|42|Wholesale trade|00|Wholesale trade|4212202|Linens, domestics, draperies, & curtains whsle|1997|Reference year 1997|003|All firms|1876||11337298||100||658252||152175||20019|
01000US|United States|1|United States|42|Wholesale trade|00|Wholesale trade|4212202|Linens, domestics, draperies, & curtains whsle|1997|Reference year 1997|804|4 largest firms|31||3491577||30.8||62343||16060||1286|
01000US|United States|1|United States|42|Wholesale trade|00|Wholesale trade|4212202|Linens, domestics, draperies, & curtains whsle|1997|Reference year 1997|808|8 largest firms|41||4441693||39.2||111143||26076||1891|
01000US|United States|1|United States|42|Wholesale trade|00|Wholesale trade|4212202|Linens, domestics, draperies, & curtains whsle|1997|Reference year 1997|820|20 largest firms|77||5697218||50.3||186835||46511||3638|
01000US|United States|1|United States|42|Wholesale trade|00|Wholesale trade|4212202|Linens, domestics, draperies, & curtains whsle|1997|Reference year 1997|850|50 largest firms|121||7055134||62.2||273102||65788||5833|
01000US|United States|1|United States|42|Wholesale trade|00|Wholesale trade|4212203|Floor coverings whsle|1997|Reference year 1997|003|All firms|2591||16467044||100||1044511||245571||30315|
